	k	z	a
393	0.005771250471335716	6.070000000000084	0.14144271570013978
394	0.00583111391670207	6.060000000000084	0.1416430594900833
395	0.0058915983075825615	6.050000000000084	0.141843971631204
396	0.005952710084858256	6.040000000000084	0.14204545454545284
397	0.006014455756219531	6.030000000000085	0.1422475106685616
398	0.006076841896859085	6.020000000000085	0.14245014245014073
399	0.006139875150172113	6.010000000000085	0.14265335235377857
400	0.006203562228463744	6.000000000000085	0.14285714285714113
401	0.006267909913663848	5.9900000000000855	0.14306151645207263
402	0.0063329250580491875	5.980000000000086	0.14326647564469738
403	0.006398614584973158	5.970000000000086	0.14347202295552192
404	0.006464985489602998	5.960000000000086	0.14367816091953844
405	0.006532044839664718	5.950000000000086	0.14388489208632915
406	0.006599799776195724	5.9400000000000865	0.1440922190201711
407	0.006668257514305249	5.930000000000087	0.14430014430014249
408	0.006737425343942705	5.920000000000087	0.1445086705202294
409	0.00680731063067393	5.910000000000087	0.14471780028943376
410	0.006877920816465586	5.900000000000087	0.14492753623188223
411	0.006949263420477599	5.890000000000088	0.14513788098693575
412	0.007021346039863883	5.880000000000088	0.14534883720930047
413	0.007094176350581351	5.870000000000088	0.14556040756913932
414	0.007167762108207293	5.860000000000088	0.1457725947521847
415	0.007242111148765297	5.8500000000000885	0.14598540145985212
416	0.007317231389559637	5.840000000000089	0.14619883040935483
417	0.007393130830018429	5.830000000000089	0.14641288433381947
418	0.007469817552545434	5.820000000000089	0.14662756598240279
419	0.00754729972338076	5.810000000000089	0.14684287812040922
420	0.007625585593470468	5.8000000000000895	0.14705882352940983
421	0.007704683499345195	5.79000000000009	0.14727540500736183
422	0.007784601864007916	5.78000000000009	0.14749262536872962
423	0.007865349197830884	5.77000000000009	0.1477104874446066
424	0.00794693409946187	5.76000000000009	0.14792899408283827
425	0.008029365256739836	5.750000000000091	0.14814814814814617
426	0.008112651447620085	5.740000000000091	0.14836795252225318
427	0.008196801541109008	5.730000000000091	0.1485884101040099
428	0.00828182449820855	5.720000000000091	0.14880952380952178
429	0.008367729372870402	5.7100000000000914	0.14903129657227815
430	0.008454525312960207	5.700000000000092	0.14925373134328154
431	0.008542221561231645	5.690000000000092	0.14947683109117882
432	0.008630827456310705	5.680000000000092	0.14970059880239314
433	0.008720352433690133	5.670000000000092	0.1499250374812573
434	0.008810806026734199	5.6600000000000925	0.15015015015014807
435	0.008902197867693916	5.650000000000093	0.15037593984962197
436	0.008994537688732707	5.640000000000093	0.15060240963855212
437	0.009087835322962833	5.630000000000093	0.15082956259426636
438	0.009182100705492446	5.620000000000093	0.1510574018126867
